Kolonne1;id;work_id;sex;age;year_birth;work_percent;nace;region_code;region;date
0;29101946112;;Menn;1.0;2019;;;;;01.09.2020
1;26101930288;;Menn;1.0;2019;;;;;01.09.2020
2;22091952214;;Menn;1.0;2019;;;;;01.09.2020
3;4071997222;;Menn;1.0;2019;;;;;01.09.2020
4;7101970642;;Menn;1.0;2019;;;;;01.09.2020
5;19031908122;;Menn;1.0;2019;;;;;01.09.2020
6;9061955456;;Menn;1.0;2019;;;;;01.09.2020
7;26101992348;;Menn;1.0;2019;;;;;01.09.2020
8;20081921770;;Menn;1.0;2019;;;;;01.09.2020
9;7041950990;;Menn;1.0;2019;;;;;01.09.2020
10;1071994798;;Menn;1.0;2019;;;;;01.09.2020
11;7111905272;;Menn;1.0;2019;;;;;01.09.2020
12;5011997110;;Menn;1.0;2019;;;;;01.09.2020
13;5071903566;;Menn;1.0;2019;;;;;01.09.2020
14;7011977596;;Menn;1.0;2019;;;;;01.09.2020
15;13031951918;;Menn;1.0;2019;;;;;01.09.2020
16;15121990058;;Menn;1.0;2019;;;;;01.09.2020
17;26081907440;;Menn;1.0;2019;;;;;01.09.2020
18;17061966458;;Menn;1.0;2019;;;;;01.09.2020
19;30081945348;;Menn;1.0;2019;;;;;01.09.2020
20;7051922074;;Menn;1.0;2019;;;;;01.09.2020
21;26031977956;;Menn;1.0;2019;;;;;01.09.2020
22;20121911538;;Menn;1.0;2019;;;;;01.09.2020
23;16061928836;;Menn;1.0;2019;;;;;01.09.2020
24;8091927550;;Menn;1.0;2019;;;;;01.09.2020
25;25021991700;;Menn;1.0;2019;;;;;01.09.2020
26;29051938930;;Menn;1.0;2019;;;;;01.09.2020
27;19031989356;;Menn;1.0;2019;;;;;01.09.2020
28;21111944988;;Menn;1.0;2019;;;;;01.09.2020
29;4111910096;;Menn;1.0;2019;;;;;01.09.2020
30;1081952602;;Menn;1.0;2019;;;;;01.09.2020
31;7061940248;;Menn;1.0;2019;;;;;01.09.2020
32;22011915606;;Menn;1.0;2019;;;;;01.09.2020
33;10031921018;;Menn;1.0;2019;;;;;01.09.2020
34;8121983738;;Menn;1.0;2019;;;;;01.09.2020
35;3121901350;;Menn;1.0;2019;;;;;01.09.2020
36;25011909080;;Menn;1.0;2019;;;;;01.09.2020
37;6071903956;;Menn;1.0;2019;;;;;01.09.2020
38;28121936540;;Menn;1.0;2019;;;;;01.09.2020
39;24051920246;;Menn;1.0;2019;;;;;01.09.2020
40;30051978146;;Menn;1.0;2019;;;;;01.09.2020
41;21081905052;;Menn;1.0;2019;;;;;01.09.2020
42;26021929630;;Menn;1.0;2019;;;;;01.09.2020
43;4071970110;;Menn;1.0;2019;;;;;01.09.2020
44;7041975430;;Menn;1.0;2019;;;;;01.09.2020
45;6021963780;;Menn;1.0;2019;;;;;01.09.2020
46;9031913096;;Menn;1.0;2019;;;;;01.09.2020
47;23081911990;;Menn;1.0;2019;;;;;01.09.2020
48;2091941072;;Menn;1.0;2019;;;;;01.09.2020
49;12061973524;;Menn;1.0;2019;;;;;01.09.2020
50;28021997632;;Menn;1.0;2019;;;;;01.09.2020
51;4011904496;;Menn;1.0;2019;;;;;01.09.2020
52;3011939800;;Menn;1.0;2019;;;;;01.09.2020
53;23051984844;;Menn;1.0;2019;;;;;01.09.2020
54;18051970412;;Menn;1.0;2019;;;;;01.09.2020
55;18051965486;;Menn;1.0;2019;;;;;01.09.2020
56;12011942816;;Menn;1.0;2019;;;;;01.09.2020
57;15051962664;;Menn;1.0;2019;;;;;01.09.2020
58;11011916734;;Menn;1.0;2019;;;;;01.09.2020
59;22021998378;;Menn;1.0;2019;;;;;01.09.2020
60;31011980882;;Menn;1.0;2019;;;;;01.09.2020
61;19041984118;;Menn;1.0;2019;;;;;01.09.2020
62;28041926900;;Menn;1.0;2019;;;;;01.09.2020
63;17021979026;;Menn;1.0;2019;;;;;01.09.2020
64;4041970298;;Menn;1.0;2019;;;;;01.09.2020
65;29081921650;;Menn;1.0;2019;;;;;01.09.2020
66;9121985146;;Menn;1.0;2019;;;;;01.09.2020
67;16101990428;;Menn;1.0;2019;;;;;01.09.2020
68;24081903482;;Menn;1.0;2019;;;;;01.09.2020
69;18011987274;;Menn;1.0;2019;;;;;01.09.2020
70;22061909834;;Menn;1.0;2019;;;;;01.09.2020
71;23111945840;;Menn;1.0;2019;;;;;01.09.2020
72;27031925064;;Menn;1.0;2019;;;;;01.09.2020
73;10021913520;;Menn;1.0;2019;;;;;01.09.2020
74;19111974310;;Menn;1.0;2019;;;;;01.09.2020
75;28071915950;;Menn;1.0;2019;;;;;01.09.2020
76;26091947858;;Menn;1.0;2019;;;;;01.09.2020
77;17071996490;;Menn;1.0;2019;;;;;01.09.2020
78;9031998104;;Menn;1.0;2019;;;;;01.09.2020
79;15011984910;;Menn;1.0;2019;;;;;01.09.2020
80;26091936654;;Menn;1.0;2019;;;;;01.09.2020
81;2031948742;;Menn;1.0;2019;;;;;01.09.2020
82;28021925146;;Menn;1.0;2019;;;;;01.09.2020
83;15061979660;;Menn;1.0;2019;;;;;01.09.2020
84;21111931840;;Menn;1.0;2019;;;;;01.09.2020
85;13061994506;;Menn;1.0;2019;;;;;01.09.2020
86;25031911388;;Menn;1.0;2019;;;;;01.09.2020
87;7091962278;;Menn;1.0;2019;;;;;01.09.2020
88;19021919922;;Menn;1.0;2019;;;;;01.09.2020
89;31011914888;;Menn;1.0;2019;;;;;01.09.2020
90;17021923062;;Menn;1.0;2019;;;;;01.09.2020
91;15061990526;;Menn;1.0;2019;;;;;01.09.2020
92;16051978938;;Menn;1.0;2019;;;;;01.09.2020
93;5101971112;;Menn;1.0;2019;;;;;01.09.2020
94;27021958926;;Menn;1.0;2019;;;;;01.09.2020
95;18021952824;;Menn;1.0;2019;;;;;01.09.2020
96;15041976730;;Menn;1.0;2019;;;;;01.09.2020
97;27121904752;;Menn;1.0;2019;;;;;01.09.2020
98;12091941160;;Menn;1.0;2019;;;;;01.09.2020
99;4061950374;;Menn;1.0;2019;;;;;01.09.2020
100;3111921764;;Menn;1.0;2019;;;;;01.09.2020
101;4021973926;;Menn;1.0;2019;;;;;01.09.2020
102;8041928020;;Menn;1.0;2019;;;;;01.09.2020
103;28071920226;;Menn;1.0;2019;;;;;01.09.2020
104;1031928188;;Menn;1.0;2019;;;;;01.09.2020
105;23041976406;;Menn;1.0;2019;;;;;01.09.2020
106;25041938072;;Menn;1.0;2019;;;;;01.09.2020
107;4111904894;;Menn;1.0;2019;;;;;01.09.2020
108;1011935654;;Menn;1.0;2019;;;;;01.09.2020
109;18061970484;;Menn;1.0;2019;;;;;01.09.2020
110;13041969782;;Menn;1.0;2019;;;;;01.09.2020
111;12101951276;;Menn;1.0;2019;;;;;01.09.2020
112;5021917366;;Menn;1.0;2019;;;;;01.09.2020
113;5031933272;;Menn;1.0;2019;;;;;01.09.2020
114;14051987526;;Menn;1.0;2019;;;;;01.09.2020
115;19051945902;;Menn;1.0;2019;;;;;01.09.2020
116;3101941368;;Menn;1.0;2019;;;;;01.09.2020
117;24031911628;;Menn;1.0;2019;;;;;01.09.2020
118;5121913012;;Menn;1.0;2019;;;;;01.09.2020
119;28071923272;;Menn;1.0;2019;;;;;01.09.2020
