Kolonne1;id;work_id;sex;age;year_birth;work_percent;nace;region_code;region;date
0;29101946112;;Menn;4.0;2019;;;;;01.09.2023
1;26101930288;;Menn;4.0;2019;;;;;01.09.2023
2;22091952214;;Menn;4.0;2019;;;;;01.09.2023
3;7101970642;;Menn;4.0;2019;;;;;01.09.2023
4;19031908122;;Menn;4.0;2019;;;;;01.09.2023
5;9061955456;;Menn;4.0;2019;;;;;01.09.2023
6;26101992348;;Menn;4.0;2019;;;;;01.09.2023
7;20081921770;;Menn;4.0;2019;;;;;01.09.2023
8;7041950990;;Menn;4.0;2019;;;;;01.09.2023
9;1071994798;;Menn;4.0;2019;;;;;01.09.2023
10;7111905272;;Menn;4.0;2019;;;;;01.09.2023
11;5011997110;;Menn;4.0;2019;;;;;01.09.2023
12;5071903566;;Menn;4.0;2019;;;;;01.09.2023
13;7011977596;;Menn;4.0;2019;;;;;01.09.2023
14;13031951918;;Menn;4.0;2019;;;;;01.09.2023
15;15121990058;;Menn;4.0;2019;;;;;01.09.2023
16;26081907440;;Menn;4.0;2019;;;;;01.09.2023
17;17061966458;;Menn;4.0;2019;;;;;01.09.2023
18;30081945348;;Menn;4.0;2019;;;;;01.09.2023
19;7051922074;;Menn;4.0;2019;;;;;01.09.2023
20;26031977956;;Menn;4.0;2019;;;;;01.09.2023
21;20121911538;;Menn;4.0;2019;;;;;01.09.2023
22;16061928836;;Menn;4.0;2019;;;;;01.09.2023
23;8091927550;;Menn;4.0;2019;;;;;01.09.2023
24;25021991700;;Menn;4.0;2019;;;;;01.09.2023
25;29051938930;;Menn;4.0;2019;;;;;01.09.2023
26;19031989356;;Menn;4.0;2019;;;;;01.09.2023
27;21111944988;;Menn;4.0;2019;;;;;01.09.2023
28;4111910096;;Menn;4.0;2019;;;;;01.09.2023
29;1081952602;;Menn;4.0;2019;;;;;01.09.2023
30;7061940248;;Menn;4.0;2019;;;;;01.09.2023
31;22011915606;;Menn;4.0;2019;;;;;01.09.2023
32;10031921018;;Menn;4.0;2019;;;;;01.09.2023
33;8121983738;;Menn;4.0;2019;;;;;01.09.2023
34;3121901350;;Menn;4.0;2019;;;;;01.09.2023
35;25011909080;;Menn;4.0;2019;;;;;01.09.2023
36;6071903956;;Menn;4.0;2019;;;;;01.09.2023
37;28121936540;;Menn;4.0;2019;;;;;01.09.2023
38;24051920246;;Menn;4.0;2019;;;;;01.09.2023
39;30051978146;;Menn;4.0;2019;;;;;01.09.2023
40;21081905052;;Menn;4.0;2019;;;;;01.09.2023
41;26021929630;;Menn;4.0;2019;;;;;01.09.2023
42;4071970110;;Menn;4.0;2019;;;;;01.09.2023
43;7041975430;;Menn;4.0;2019;;;;;01.09.2023
44;6021963780;;Menn;4.0;2019;;;;;01.09.2023
45;9031913096;;Menn;4.0;2019;;;;;01.09.2023
46;23081911990;;Menn;4.0;2019;;;;;01.09.2023
47;2091941072;;Menn;4.0;2019;;;;;01.09.2023
48;6071999716;;Menn;4.0;2019;;;;;01.09.2023
49;12061973524;;Menn;4.0;2019;;;;;01.09.2023
50;28021997632;;Menn;4.0;2019;;;;;01.09.2023
51;4011904496;;Menn;4.0;2019;;;;;01.09.2023
52;3011939800;;Menn;4.0;2019;;;;;01.09.2023
53;23051984844;;Menn;4.0;2019;;;;;01.09.2023
54;18051970412;;Menn;4.0;2019;;;;;01.09.2023
55;18051965486;;Menn;4.0;2019;;;;;01.09.2023
56;12011942816;;Menn;4.0;2019;;;;;01.09.2023
57;15051962664;;Menn;4.0;2019;;;;;01.09.2023
58;11011916734;;Menn;4.0;2019;;;;;01.09.2023
59;22021998378;;Menn;4.0;2019;;;;;01.09.2023
60;31011980882;;Menn;4.0;2019;;;;;01.09.2023
61;19041984118;;Menn;4.0;2019;;;;;01.09.2023
62;28041926900;;Menn;4.0;2019;;;;;01.09.2023
63;4041970298;;Menn;4.0;2019;;;;;01.09.2023
64;29081921650;;Menn;4.0;2019;;;;;01.09.2023
65;9121985146;;Menn;4.0;2019;;;;;01.09.2023
66;16101990428;;Menn;4.0;2019;;;;;01.09.2023
67;24081903482;;Menn;4.0;2019;;;;;01.09.2023
68;18011987274;;Menn;4.0;2019;;;;;01.09.2023
69;22061909834;;Menn;4.0;2019;;;;;01.09.2023
70;23111945840;;Menn;4.0;2019;;;;;01.09.2023
71;27031925064;;Menn;4.0;2019;;;;;01.09.2023
72;10021913520;;Menn;4.0;2019;;;;;01.09.2023
73;19111974310;;Menn;4.0;2019;;;;;01.09.2023
74;28071915950;;Menn;4.0;2019;;;;;01.09.2023
75;26091947858;;Menn;4.0;2019;;;;;01.09.2023
76;17071996490;;Menn;4.0;2019;;;;;01.09.2023
77;9031998104;;Menn;4.0;2019;;;;;01.09.2023
78;15011984910;;Menn;4.0;2019;;;;;01.09.2023
79;24121986910;;Menn;4.0;2019;;;;;01.09.2023
80;26091936654;;Menn;4.0;2019;;;;;01.09.2023
81;2031948742;;Menn;4.0;2019;;;;;01.09.2023
82;28021925146;;Menn;4.0;2019;;;;;01.09.2023
83;15061979660;;Menn;4.0;2019;;;;;01.09.2023
84;21111931840;;Menn;4.0;2019;;;;;01.09.2023
85;13061994506;;Menn;4.0;2019;;;;;01.09.2023
86;25031911388;;Menn;4.0;2019;;;;;01.09.2023
87;7091962278;;Menn;4.0;2019;;;;;01.09.2023
88;19021919922;;Menn;4.0;2019;;;;;01.09.2023
89;31011914888;;Menn;4.0;2019;;;;;01.09.2023
90;17021923062;;Menn;4.0;2019;;;;;01.09.2023
91;15061990526;;Menn;4.0;2019;;;;;01.09.2023
